AvgIntDist	NumLociNonZeroContact	NumLoci_AllPossible	NumContact	AvgContact	PriorProb
20000	698	821	15667	19.0828258221681	0.0000858519400302691
25000	661	809	13432	16.6032138442522	0.0000746963857737775
30000	648	811	11541	14.2305795314427	0.0000640221145397734
35000	653	815	9927	12.1803680981595	0.0000547983952300721
40000	651	807	9022	11.179677819083	0.0000502963784622857
45000	640	817	7932	9.70869033047736	0.000043678536281368
50000	605	808	6776	8.38613861386139	0.0000377284934669572
55000	602	812	6374	7.84975369458128	0.0000353153453120503
60000	562	815	6199	7.60613496932515	0.0000342193262850022
65000	567	812	5680	6.99507389162562	0.0000314702167198691
70000	576	823	4965	6.03280680437424	0.0000271410624825633
75000	561	829	4845	5.84439083232811	0.0000262933957437065
80000	565	839	4200	5.00595947556615	0.0000225213674691201
85000	556	837	3771	4.50537634408602	0.000020269288380599
90000	517	837	3294	3.93548387096774	0.000017705392714318
95000	511	825	3171	3.84363636363636	0.0000172921789290628
100000	492	825	3140	3.80606060606061	0.0000171231289300717
105000	511	833	3096	3.71668667466987	0.0000167210435434769
110000	478	834	2878	3.45083932853717	0.0000155250199235958
115000	490	841	2621	3.11652794292509	0.0000140209826653579
120000	480	849	2382	2.80565371024735	0.0000126223870784401
125000	471	845	2108	2.49467455621302	0.0000112233194596493
130000	461	843	2073	2.45907473309609	0.0000110631590144509
135000	474	836	2392	2.86124401913876	0.0000128724829452517
140000	465	830	2275	2.74096385542169	0.0000123313531619324
145000	438	842	2259	2.68289786223278	0.00001207011941115
150000	445	845	2174	2.57278106508876	0.0000115747137121811
155000	432	853	1857	2.17702227432591	0.00000979423003079913
160000	437	851	1682	1.9764982373678	0.00000889209018233099
165000	432	848	1756	2.07075471698113	0.00000931614172011883
170000	428	843	1629	1.93238434163701	0.000008693625679952
175000	404	841	1621	1.92746730083234	0.00000867150434969291
180000	392	837	1609	1.92234169653524	0.00000864844471078859
185000	399	842	1449	1.7209026128266	0.00000774218814818785
190000	415	855	1247	1.45847953216374	0.0000065615699947981
195000	388	848	1240	1.4622641509434	0.00000657859665885384
200000	366	851	1185	1.3924794359577	0.00000626464141858634
205000	372	855	1177	1.3766081871345	0.00000619323807849027
212486	722	1705	2096	1.22932551319648	0.0000055306263977959
222494	682	1692	1962	1.15957446808511	0.00000521682263530523
232504	708	1695	1929	1.13805309734513	0.00000511999989807776
242515	678	1719	1619	0.941826643397324	0.00000423719449422036
252500	676	1734	1561	0.900230680507497	0.00000405005794826026
262494	661	1744	1559	0.893922018348624	0.00000402167583701625
272479	635	1718	1643	0.956344586728754	0.00000430250943299661
282511	631	1714	1519	0.886231038506418	0.000003987074801177
292497	612	1736	1478	0.851382488479263	0.00000383029426694408
302492	585	1739	1464	0.84186313973548	0.00000378746756165974
312500	551	1742	1306	0.749712973593571	0.00000337289214127288
322497	556	1740	1184	0.680459770114943	0.00000306132812411121
334982	800	2599	1650	0.634859561369758	0.00000285617683137072
350000	757	2588	1541	0.595440494590417	0.0000026788339478415
365017	770	2608	1593	0.610812883435583	0.00000274799296116352
380005	772	2605	1547	0.593857965451056	0.00000267171428967165
395000	676	2603	1317	0.505954667691126	0.00000227624515328297
410017	684	2583	1304	0.504839334107627	0.00000227122736646164
424994	628	2593	1186	0.45738526802931	0.00000205773573408425
440000	579	2558	1184	0.462861610633307	0.00000208237331350801
457498	753	3402	1430	0.420340975896531	0.00000189107675096066
477524	737	3418	1235	0.36132241076653	0.00000162555746354321
497493	679	3389	1261	0.372086161109472	0.00000167398262119829
517498	687	3412	1124	0.329425556858148	0.00000148205634822539
537523	661	3400	1123	0.330294117647059	0.00000148596392614164
559960	784	4253	1321	0.310604279332236	0.0000013973810907711
584989	708	4216	1142	0.270872865275142	0.00000121863298455588
612538	816	5091	1297	0.254763307798075	0.00000114615751497271
642559	847	5069	1263	0.249161570329454	0.00000112095579518011
672473	784	5078	1221	0.240448995667586	0.00000108175869489997
705019	787	5974	1231	0.206059591563442	0.000000927043817431669
742547	875	6867	1186	0.17271006261832	0.000000777007246028899
787552	928	8671	1205	0.138968977049937	0.000000625209096123453
837447	919	8620	1174	0.136194895591647	0.00000061272874980496
889980	956	9473	1190	0.125620183679932	0.000000565154059277351
949944	985	11153	1183	0.106070115663947	0.000000477200038078546
1012515	955	10324	1166	0.112940720650911	0.000000508110280241279
1074960	873	11119	1141	0.102617141829301	0.000000461665415201377
1145086	927	12845	1138	0.0885947839626314	0.000000398580071454549
1224961	925	14473	1154	0.0797346783666137	0.000000358719242593054
1314980	985	16099	1141	0.0708739673271632	0.00000031885568989528
1412453	921	16865	1168	0.0692558553216721	0.000000311575947568213
1524934	986	21201	1129	0.0532522050846658	0.000000239576945260243
1655067	977	22827	1137	0.0498094361939808	0.000000224088233520402
1794874	992	24451	1142	0.0467056562103799	0.000000210124602792834
